ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntBeers,MntVegetables,MntMeatProducts,MntSeafoodProducts,MntSweetProducts,MntJewelryProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
38406,1977,Bachelor,Married,"$14,895.00 ",1,1,9/11/2013,50,63,57,93,13,13,22,4,2,1,5,4,1,0,0,1,0,1,0,SP
27215,1958,PhD,Divorced,"$72,777.00 ",0,1,8/1/2013,71,18,93,1422,0,0,2,1,1,0,3,4,1,0,0,0,1,1,1,SP
8399,1960,Associate,Single,"$61,632.00 ",0,1,7/23/2013,40,53,167,1159,2,1,10,2,2,0,3,8,1,1,0,0,0,0,1,CA
32444,1958,Master,Single,"$100,213.00 ",2,1,7/1/2013,74,5,57,95,0,0,5,1,1,0,2,7,0,1,0,0,0,1,1,CA
36,1954,Master,Together,"$14,954.00 ",0,1,5/28/2013,19,213,18,1233,4,3,30,3,5,2,5,7,1,0,0,0,0,1,0,SA
1868,1966,Master,Single,"$46,705.00 ",0,1,3/26/2013,59,275,149,976,25,7,7,3,5,1,8,5,1,0,1,1,1,0,1,IND
1069,1979,Master,Married,"$26,613.00 ",1,0,3/15/2013,71,40,82,603,0,4,23,2,2,1,3,4,0,1,1,0,0,1,1,GER
35538,1976,PhD,Married,"$66,406.00 ",1,0,2/12/2013,40,308,9,411,0,0,23,2,5,1,8,7,1,1,1,0,0,0,0,SP
25109,1969,Bachelor,Single,"$142,536.00 ",0,1,11/23/2012,0,266,26,1205,65,8,44,4,8,8,6,6,1,0,0,0,1,1,1,IND
10041,1965,Master,Single,"$43,433.00 ",0,1,10/13/2012,68,80,104,218,0,1,3,3,2,1,4,7,0,1,1,0,0,0,1,SP
38538,1956,Bachelor,Together,"$148,695.00 ",1,1,9/14/2012,65,454,158,632,8,19,32,12,9,2,8,8,0,1,0,1,1,1,0,SP
3146,1956,Bachelor,Together,"$147,858.00 ",1,1,9/14/2012,17,454,13,1228,8,19,32,12,9,2,8,8,1,1,1,0,0,0,1,SP
13564,1956,PhD,Widow,"$88,513.00 ",1,1,6/29/2014,6,27,144,1178,0,1,5,2,2,0,3,5,0,1,0,0,1,0,0,SP
37630,1975,Bachelor,Single,"$158,195.00 ",0,0,5/31/2014,29,184,20,256,50,30,32,1,5,4,6,2,0,0,0,1,1,1,1,CA
22201,1971,PhD,Divorced,"$76,135.00 ",1,1,5/30/2014,83,155,79,1176,13,7,10,3,5,1,5,6,1,1,1,1,1,1,1,SP
27696,1986,Bachelor,Married,"$28,663.00 ",0,0,4/27/2014,29,423,179,574,73,197,197,1,4,8,9,2,0,1,0,1,0,1,1,CA
33785,1972,PhD,Together,"$117,672.00 ",2,1,4/11/2014,48,7,97,78,0,0,0,1,1,0,2,6,0,0,1,0,0,1,1,AUS
26763,1974,PhD,Married,"$73,717.00 ",0,1,3/17/2014,66,408,73,1169,0,0,17,3,7,1,7,8,1,1,0,1,0,1,0,IND
38772,1990,Bachelor,Married,"$8,272.00 ",0,0,10/29/2013,37,1,159,1011,0,14,7,1,2,0,3,7,0,1,0,0,0,0,1,SP
37129,1987,PhD,Single,"$76,630.00 ",0,0,10/9/2013,81,1285,140,1699,106,20,20,1,4,3,4,1,1,1,0,0,1,1,1,SP
16186,1984,Associate,Married,"$41,768.00 ",0,0,8/1/2013,30,71,114,795,138,89,29,1,2,3,13,1,0,0,1,0,1,1,1,SP
13041,1960,Master,Divorced,"$6,031.00 ",0,0,5/10/2013,70,7,150,660,0,3,3,1,0,0,3,4,0,1,0,1,0,0,0,SA
36006,1961,PhD,Single,"$29,919.00 ",0,0,5/9/2013,11,1248,80,1054,43,16,16,1,2,4,9,4,0,1,1,0,1,0,0,SP
31504,1968,Bachelor,Married,"$24,274.00 ",0,1,4/25/2013,4,378,144,1077,97,172,172,2,5,5,12,3,0,1,1,0,0,1,0,SP
23740,1972,Bachelor,Single,"$11,756.00 ",1,0,4/20/2013,83,12,134,1634,6,1,10,2,2,0,3,8,1,0,1,0,1,1,0,CA
19880,1955,PhD,Married,"$50,631.00 ",0,1,3/30/2013,2,1200,50,884,38,29,14,3,11,9,12,6,1,1,0,0,0,1,0,SP
37556,1983,Associate,Single,"$25,560.00 ",0,0,3/1/2013,82,709,158,1445,30,160,45,1,8,2,5,5,0,0,0,1,1,0,1,SP
17269,1986,Bachelor,Single,"$163,788.00 ",1,0,2/14/2013,92,94,36,873,13,12,12,3,4,0,4,8,0,0,1,0,0,1,1,SP
11835,1970,Associate,Divorced,"$130,131.00 ",1,1,2/14/2013,97,4,180,1121,7,5,26,2,1,2,2,6,0,0,0,1,1,1,0,SP
36125,1961,Bachelor,Together,"$129,793.00 ",0,0,1/11/2013,59,539,6,1213,20,0,30,1,4,5,4,3,1,0,1,1,1,0,0,SP
37333,1973,Bachelor,Married,"$61,797.00 ",1,0,1/3/2013,96,13,156,933,6,5,6,1,1,0,3,8,0,1,1,0,1,0,1,SP
21743,1965,Master,Married,"$42,951.00 ",0,1,12/19/2012,16,670,54,316,0,28,9,2,5,4,5,4,1,1,1,1,0,1,0,AUS
5353,1970,Bachelor,Divorced,"$28,324.00 ",0,1,12/15/2012,64,158,107,396,0,0,125,2,7,2,8,5,1,0,1,0,0,0,1,GER
36456,1960,Bachelor,Single,"$12,849.00 ",0,1,12/2/2012,77,283,97,1608,0,13,27,4,7,2,4,8,1,1,1,0,1,1,1,US
13368,1984,Associate,Married,"$129,943.00 ",1,0,9/17/2012,77,13,178,532,7,4,16,2,1,0,3,9,0,0,0,0,1,0,0,GER
19915,1954,Master,Married,"$73,596.00 ",0,0,9/11/2012,9,496,174,263,189,60,12,3,4,8,6,3,1,0,0,1,0,0,1,GER
12108,1978,Associate,Single,"$99,314.00 ",2,1,5/12/2014,34,12,33,137,0,0,1,1,1,0,2,8,1,0,1,1,1,0,0,SA
17701,1956,Bachelor,Married,"$16,431.00 ",0,0,4/28/2014,1,292,117,1551,224,23,17,1,4,6,6,1,0,1,1,1,1,0,0,SP
38268,1974,High School,Married,"$122,885.00 ",1,0,3/29/2014,30,7,95,707,16,0,4,2,3,0,3,8,0,1,0,0,1,1,1,SP
33604,1952,Bachelor,Single,"$96,037.00 ",1,1,3/6/2014,48,46,165,1699,0,2,23,2,2,1,2,7,0,0,1,1,1,0,1,SP
23966,1973,Master,Married,"$37,615.00 ",0,1,3/4/2014,35,34,52,186,0,0,0,1,1,0,3,7,0,1,1,0,0,0,1,IND
18178,1975,PhD,Together,"$13,101.00 ",0,1,2/4/2014,75,167,103,154,6,2,13,2,4,2,4,5,1,0,0,0,1,1,1,SA
39031,1962,Bachelor,Married,"$81,784.00 ",0,0,2/3/2014,98,318,199,434,150,35,8,1,2,8,13,0,0,1,1,1,0,0,0,SA
9337,1964,Bachelor,Married,"$55,743.00 ",0,1,1/1/2014,25,522,135,1659,32,16,66,4,2,2,8,7,1,0,0,1,0,0,1,SP
25307,1982,Master,Single,"$24,573.00 ",0,0,12/12/2013,98,67,173,263,4,3,262,0,1,0,1,17,0,1,0,1,1,1,1,SP
7261,1961,Master,Together,"$2,841.00 ",0,1,11/15/2013,0,28,45,1186,0,0,0,1,1,0,3,5,0,0,1,1,1,0,0,SP
4276,1968,PhD,Single,"$38,357.00 ",1,1,9/20/2013,1,58,189,1485,2,0,10,4,3,0,4,7,1,0,1,1,0,1,0,SP
29699,1977,Master,Married,"$15,496.00 ",1,0,9/5/2013,47,2,150,1620,0,4,5,1,1,0,3,5,1,0,1,1,1,1,0,SP
2215,1974,Master,Divorced,"$56,637.00 ",1,1,8/31/2013,84,229,20,1275,10,3,11,7,5,1,8,7,1,1,0,1,1,0,1,AUS
19869,1986,Bachelor,Together,"$76,248.00 ",1,0,7/30/2013,72,14,131,488,0,0,6,1,1,1,2,6,1,0,0,0,1,0,0,SP
15010,1956,Master,Married,"$24,832.00 ",0,2,7/30/2013,8,622,107,1542,30,0,15,2,6,3,12,5,0,1,0,0,0,0,0,AUS
13265,1960,Associate,Married,"$127,973.00 ",0,0,7/27/2013,70,362,79,620,134,35,54,1,3,6,7,1,0,1,1,0,0,1,0,IND
17837,1972,PhD,Single,"$49,719.00 ",1,1,6/22/2013,27,38,152,284,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP
330,1972,PhD,Single,"$138,685.00 ",1,1,6/22/2013,78,38,171,748,3,3,3,3,3,0,3,8,0,1,0,1,1,1,0,SP
30081,1975,PhD,Married,"$96,991.00 ",0,0,1/11/2013,71,1074,65,9,193,92,129,1,5,6,7,2,1,1,0,1,0,0,0,CA
25907,1962,Associate,Divorced,"$40,673.00 ",0,1,1/5/2013,24,983,31,197,180,138,27,1,6,3,4,7,1,1,1,1,1,1,0,SA
12244,1977,Master,Married,"$51,328.00 ",0,1,11/21/2012,84,262,27,1041,0,10,102,3,5,2,6,5,0,0,1,0,0,1,0,SP
2625,1970,Bachelor,Single,"$82,465.00 ",1,0,11/11/2012,55,3,152,1209,20,1,39,2,2,0,3,9,0,1,0,1,1,0,0,IND
36092,1971,Bachelor,Married,"$133,922.00 ",1,0,9/28/2012,82,739,117,116,140,80,35,1,2,5,13,6,0,1,1,0,0,0,0,SA
8349,1965,Bachelor,Together,"$151,658.00 ",0,0,9/27/2012,2,610,108,1208,137,42,21,1,9,4,9,5,0,0,0,1,0,0,0,SP
23438,1963,Bachelor,Widow,"$140,370.00 ",1,1,9/7/2012,14,50,69,340,6,3,26,3,3,1,2,9,1,0,1,1,0,0,0,SA
9833,1976,PhD,Together,"$19,818.00 ",0,0,8/13/2012,26,1285,63,1413,28,21,0,1,10,4,8,8,0,0,0,0,1,0,1,SP
32679,1964,Master,Married,"$12,606.00 ",0,0,8/11/2012,45,650,32,1420,27,167,32,1,6,9,13,3,0,0,1,1,0,1,0,AUS
12620,1947,Bachelor,Married,"$98,974.00 ",0,0,8/2/2012,96,9,185,1106,3,2,0,1,0,0,3,6,1,0,0,0,0,0,1,CA
1936,1969,Bachelor,Together,"$28,432.00 ",0,0,6/25/2014,13,458,2,1080,106,50,40,1,4,4,7,2,1,0,0,0,0,0,1,SP
33000,1969,Bachelor,Together,"$18,218.00 ",0,0,6/25/2014,87,458,61,383,106,50,40,1,4,4,7,2,0,1,1,0,0,0,0,CA
17644,1957,Bachelor,Single,"$108,100.00 ",0,1,5/28/2014,6,292,6,1063,0,3,34,4,6,1,6,7,1,1,1,0,1,0,1,GER
22859,1970,PhD,Together,"$50,953.00 ",0,2,4/14/2014,52,520,7,1618,19,0,14,2,6,3,11,3,1,1,0,1,1,0,1,SA
34891,1962,Bachelor,Divorced,"$21,932.00 ",2,1,3/10/2014,12,14,49,348,0,0,1,1,1,0,2,7,1,1,1,0,0,0,0,SP
12882,1980,Associate,Single,"$49,355.00 ",1,0,2/27/2014,98,3,196,422,15,8,11,1,1,0,3,7,0,0,1,1,0,0,1,SP
10131,1987,Associate,Single,"$119,157.00 ",0,0,2/7/2014,29,1,154,652,4,8,16,1,1,0,3,7,1,0,0,1,0,0,1,SP
15133,1973,Bachelor,Married,"$110,360.00 ",1,1,1/28/2014,93,20,179,1482,0,4,1,3,2,0,4,6,1,0,0,0,1,1,0,AUS
39036,1945,PhD,Together,"$69,565.00 ",0,0,11/17/2013,32,345,87,446,98,75,97,1,8,3,5,4,1,1,1,0,1,0,1,SP
34361,1984,Bachelor,Married,"$17,916.00 ",1,0,11/7/2013,99,22,174,377,0,1,2,1,1,0,3,7,0,0,0,1,0,0,1,SP
36018,1977,Bachelor,Together,"$85,204.00 ",0,1,10/17/2013,27,42,196,235,10,28,14,1,1,1,6,2,0,1,1,0,0,0,1,CA
21669,1960,PhD,Married,"$34,484.00 ",0,1,10/13/2013,92,463,126,1295,168,53,10,1,7,7,12,3,0,0,0,1,0,0,0,SP
31907,1970,Bachelor,Single,"$86,451.00 ",1,1,10/12/2013,50,4,93,1178,2,1,2,2,1,0,3,4,1,1,0,1,1,1,0,SP
22095,1969,PhD,Together,"$72,173.00 ",0,0,9/30/2013,89,260,177,1210,63,9,67,1,4,6,4,2,0,1,0,0,0,1,1,US
16832,1979,Bachelor,Married,"$72,998.00 ",0,1,7/3/2013,2,180,84,1415,76,32,90,2,5,2,12,2,0,1,1,0,0,1,0,GER
33901,1962,Master,Married,"$141,130.00 ",0,1,6/10/2013,6,62,184,51,6,5,22,1,2,1,4,4,0,1,1,1,0,1,0,SP
29967,1962,Master,Married,"$43,875.00 ",0,1,6/10/2013,66,62,129,1092,6,5,22,1,2,1,4,4,1,0,0,0,1,1,0,GER
35695,1949,Master,Widow,"$59,266.00 ",1,1,5/29/2013,91,67,73,939,0,2,31,3,2,2,2,7,1,1,0,0,0,0,1,US
6240,1980,Bachelor,Married,"$11,736.00 ",0,1,4/29/2013,37,421,89,337,82,178,102,2,8,6,5,4,1,1,1,0,1,0,1,AUS
31662,1956,PhD,Single,"$13,283.00 ",0,1,3/10/2013,21,154,64,893,39,30,8,5,4,2,9,4,0,1,1,1,0,1,1,SP
11040,1948,PhD,Single,"$2,180.00 ",0,1,1/2/2013,63,502,73,947,0,6,26,6,6,2,11,6,1,0,1,1,1,0,1,SP
37070,1982,Bachelor,Married,"$12,948.00 ",0,0,11/2/2012,2,145,33,1192,205,26,145,2,3,8,7,2,0,1,0,0,1,0,0,SP
33466,1973,PhD,Single,"$60,748.00 ",0,1,10/18/2012,20,322,83,1035,4,3,42,5,7,1,6,8,0,0,0,0,1,0,1,SA
8479,1973,PhD,YOLO,"$2,047.00 ",0,1,10/18/2012,60,322,77,259,4,3,42,5,7,1,6,8,1,1,0,0,0,0,1,CA
36633,1973,PhD,YOLO,"$12,138.00 ",0,1,10/18/2012,71,322,98,94,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,IND
6125,1949,Master,Married,"$121,153.00 ",1,1,10/1/2012,48,1099,67,1585,0,0,34,11,3,4,10,8,0,0,1,0,1,0,1,SP
28826,1949,Master,Married,"$46,514.00 ",1,1,10/1/2012,98,1099,122,299,0,0,34,11,3,4,10,8,1,1,1,1,1,1,0,SP
14605,1965,PhD,Together,"$13,815.00 ",0,0,9/3/2012,48,890,49,1581,0,25,12,4,8,4,7,6,0,0,1,0,0,1,1,GER
3407,1990,PhD,Married,"$14,987.00 ",0,0,8/26/2012,1,863,15,819,86,99,33,1,8,2,5,5,1,0,1,0,0,1,1,SP
35990,1980,Associate,Married,"$164,706.00 ",0,0,5/23/2014,85,448,123,23,52,101,62,0,7,6,8,2,1,1,0,0,1,1,0,SP
35802,1955,Bachelor,Together,"$126,912.00 ",0,1,5/17/2014,4,399,49,1236,6,4,30,3,7,1,7,7,1,1,1,1,0,1,1,SP
37320,1970,Bachelor,Married,"$127,151.00 ",2,0,4/21/2014,87,85,8,1518,2,3,27,1,3,1,3,6,0,1,1,0,0,0,1,IND
19800,1953,Bachelor,Married,"$123,506.00 ",0,1,4/21/2014,21,97,58,1498,6,2,41,2,4,1,3,7,1,0,0,0,0,1,0,AUS
37473,1982,Bachelor,Together,"$110,226.00 ",2,0,3/23/2014,54,35,29,725,10,8,24,1,3,1,3,6,0,0,1,1,1,0,0,SA
22592,1975,Master,Married,"$146,759.00 ",1,0,12/16/2013,18,3,133,256,2,2,10,1,1,0,2,6,1,0,0,1,1,0,1,SP
16376,1955,Bachelor,Married,"$61,581.00 ",0,1,11/26/2013,60,315,165,1411,46,7,143,3,7,2,11,5,0,0,0,1,0,1,0,US
13400,1976,Master,Together,"$125,645.00 ",0,1,11/14/2013,33,738,196,1199,13,20,50,2,3,5,7,7,1,0,0,1,0,1,0,CA
17052,1976,Master,Together,"$2,262.00 ",0,1,11/14/2013,91,738,110,1258,13,20,50,2,3,5,7,7,1,1,0,1,1,0,0,SP
20569,1949,Master,Married,"$53,813.00 ",0,0,11/6/2013,48,179,50,156,111,123,47,1,3,8,13,1,0,1,0,1,0,0,1,SP
38201,1968,Bachelor,Single,"$95,292.00 ",0,1,10/6/2013,88,381,9,1338,84,28,21,2,6,5,9,3,1,1,0,0,0,1,1,SP
31288,1958,Bachelor,Together,"$75,228.00 ",0,1,9/27/2013,73,247,134,1431,7,82,109,1,5,2,10,4,1,1,0,0,0,1,0,GER
39539,1962,Bachelor,Married,"$118,688.00 ",0,1,9/18/2013,65,711,86,870,172,96,168,3,7,4,7,4,0,1,1,0,1,1,0,SP
8062,1978,Bachelor,Married,"$143,804.00 ",1,0,9/9/2013,11,30,1,175,8,8,12,1,2,0,4,5,1,1,0,1,0,1,0,SP
14041,1978,Bachelor,Married,"$100,202.00 ",1,0,9/9/2013,50,30,58,748,8,8,12,1,2,0,4,5,1,0,1,1,0,1,1,CA
25030,1958,Bachelor,Together,"$106,188.00 ",0,0,7/18/2013,0,288,25,445,4,10,125,1,6,1,6,6,1,1,0,1,0,1,0,SP
23147,1958,Bachelor,Single,"$146,242.00 ",0,1,7/8/2013,87,212,35,1585,4,12,3,3,6,1,5,7,1,1,1,1,1,1,1,CA
31723,1976,Bachelor,Married,"$13,439.00 ",1,1,5/27/2013,17,173,181,1445,3,6,41,4,5,1,4,7,1,0,0,0,1,1,1,US
39283,1971,Master,Married,"$16,820.00 ",1,1,3/5/2013,68,604,181,1142,19,0,28,9,10,2,8,8,1,1,1,1,1,0,0,SP
11473,1946,Master,Married,"$96,022.00 ",0,0,2/20/2013,95,482,107,634,119,68,22,1,3,5,9,7,0,1,0,0,1,0,1,AUS
20430,1954,Bachelor,Divorced,"$68,273.00 ",0,1,2/14/2013,5,531,156,1657,150,138,150,3,5,4,8,2,1,0,1,0,1,1,1,SP
776,1954,Bachelor,Divorced,"$144,702.00 ",0,1,2/14/2013,87,531,40,1429,150,138,150,3,5,4,8,2,0,0,1,1,0,0,1,CA
3575,1967,Master,Single,"$109,355.00 ",1,0,1/12/2013,67,448,134,1407,80,0,91,3,11,2,12,7,0,0,1,0,0,0,1,IND
22862,1957,Bachelor,Together,"$112,163.00 ",0,1,12/24/2012,38,9,130,500,3,1,3,1,0,0,3,5,1,1,0,0,1,1,1,AUS
11702,1957,Bachelor,Together,"$76,217.00 ",0,1,12/24/2012,71,9,55,596,3,1,3,1,0,0,3,5,1,1,1,1,1,0,1,SP
8105,1957,PhD,Married,,2,1,11/19/2012,63,230,45,1712,49,37,53,12,7,2,8,9,0,1,0,0,1,0,1,GER
28055,1972,Bachelor,Married,"$52,063.00 ",0,0,9/17/2012,97,496,95,1066,229,48,128,2,5,3,6,4,0,0,0,1,1,1,0,CA
13793,1989,Bachelor,Together,"$148,849.00 ",1,0,3/28/2014,60,33,51,841,4,2,5,2,3,0,4,7,0,0,1,0,0,1,1,IND
24471,1987,PhD,Single,"$22,037.00 ",0,0,2/24/2014,18,784,178,937,42,176,48,1,4,6,4,3,0,0,0,0,1,1,1,IND
36029,1987,Associate,Married,"$9,584.00 ",0,0,9/2/2013,73,10,123,683,25,1,20,1,2,0,3,6,0,1,1,1,0,1,0,IND
15057,1985,Bachelor,Married,"$98,972.00 ",1,0,8/20/2013,38,5,14,1549,0,5,31,2,2,1,2,6,1,1,0,1,0,0,1,US
404,1969,Bachelor,Married,"$82,211.00 ",1,0,6/23/2013,88,4,91,1148,2,0,4,1,1,0,2,7,0,0,1,0,0,0,1,GER
16184,1989,Associate,Married,"$111,271.00 ",0,0,5/5/2013,15,600,183,1126,29,30,33,1,6,9,10,2,1,1,0,0,0,0,1,IND
3714,1974,Bachelor,Divorced,"$97,179.00 ",0,0,4/5/2013,84,168,150,1589,32,172,148,1,6,9,13,2,1,0,0,0,0,0,0,SA
23424,1971,Bachelor,Single,"$131,679.00 ",0,1,1/4/2013,86,493,84,1628,116,80,80,4,8,3,12,6,0,0,0,0,0,1,0,SP
34613,1978,Bachelor,Single,"$60,366.00 ",1,1,12/27/2012,89,6,64,837,13,4,25,4,2,1,3,6,0,1,0,0,1,1,0,SP
38240,1984,Master,Single,"$159,262.00 ",0,0,11/10/2012,26,6,15,1143,7,2,15,1,0,1,2,6,0,1,0,0,0,0,1,SA
32234,1986,High School,Married,"$42,024.00 ",1,0,10/29/2012,65,4,72,1428,3,16,17,2,2,0,3,7,1,0,1,0,0,1,1,CA
12681,1986,High School,Married,"$36,162.00 ",1,0,10/29/2012,43,4,155,1280,3,16,17,2,2,0,3,7,0,1,0,1,0,0,0,GER
26911,1957,PhD,Divorced,"$41,703.00 ",1,1,9/22/2012,15,29,53,378,0,0,1,1,1,0,3,7,0,0,0,1,0,1,0,SP
8414,1949,Master,Together,"$130,481.00 ",0,1,9/7/2012,62,520,158,1058,32,49,42,4,10,5,7,8,0,0,1,1,0,1,0,ME
25658,1949,Master,Together,"$41,546.00 ",0,1,9/7/2012,49,520,90,1698,32,49,42,4,10,5,7,8,1,0,0,1,0,1,0,AUS
11028,1959,Bachelor,Married,"$13,947.00 ",0,1,3/31/2014,5,835,74,441,114,73,43,1,6,9,7,2,0,0,1,0,1,1,1,AUS
12072,1954,Bachelor,Divorced,"$32,599.00 ",0,0,3/21/2014,16,1296,158,1456,45,69,51,1,2,4,10,1,0,0,0,1,1,0,0,SP
34302,1965,PhD,Divorced,"$164,365.00 ",1,1,2/9/2014,87,16,95,1515,0,0,1,1,1,0,2,7,1,0,1,1,0,1,1,SP
2061,1976,PhD,Married,"$81,530.00 ",0,1,11/17/2013,15,760,106,240,17,13,80,1,6,9,5,3,0,1,1,1,0,1,1,SA
5080,1984,PhD,Married,"$124,139.00 ",1,0,9/23/2013,77,70,85,1489,2,3,3,3,3,1,4,7,0,0,0,0,0,1,1,SP
35479,1972,Master,Single,"$64,874.00 ",1,1,9/18/2013,28,68,120,750,0,0,8,3,2,0,4,7,1,1,1,1,0,1,0,SP
37521,1972,Master,Single,"$80,355.00 ",1,1,9/18/2013,51,68,128,87,0,0,8,3,2,0,4,7,1,0,0,1,0,1,0,SP
11400,1976,Master,Together,"$136,008.00 ",1,0,6/27/2013,95,9,33,343,4,5,7,1,1,0,3,7,1,1,1,1,1,0,1,SA
5124,1976,Master,Together,"$4,924.00 ",1,0,6/27/2013,26,9,84,778,4,5,7,1,1,0,3,7,0,0,1,0,0,1,0,CA
39794,1979,Bachelor,Single,"$140,049.00 ",0,1,3/28/2013,38,325,171,1215,86,58,91,1,6,4,12,3,0,1,1,1,1,1,0,SP
3725,1965,Bachelor,Together,"$40,216.00 ",1,1,3/12/2013,92,9,115,849,0,4,8,1,0,0,3,6,0,0,1,1,0,0,0,SA
13114,1965,Bachelor,Together,"$119,833.00 ",1,1,3/12/2013,61,9,53,1030,0,4,8,1,0,0,3,6,1,1,0,1,0,1,1,SP
38055,1947,Bachelor,Together,"$81,363.00 ",0,0,1/16/2013,50,303,129,580,82,26,191,1,6,5,13,4,1,1,1,0,0,0,0,SP
16471,1962,Bachelor,Married,"$108,217.00 ",0,1,1/8/2013,80,121,115,4,8,44,48,1,4,2,7,4,0,0,1,1,1,1,0,SP
16647,1990,High School,Married,"$93,930.00 ",0,0,12/29/2012,97,16,174,1468,20,62,108,1,4,1,3,8,0,1,0,0,1,1,1,SP
36841,1969,PhD,Married,"$56,965.00 ",0,0,12/12/2012,28,561,152,1030,84,128,48,1,3,3,8,1,0,1,0,1,1,0,1,SP
27352,1976,PhD,Married,"$146,318.00 ",0,1,11/25/2012,6,462,172,717,10,53,107,4,7,5,9,6,1,1,0,0,0,0,0,SP
21780,1973,Bachelor,Married,"$15,772.00 ",0,1,9/21/2012,82,376,35,831,11,8,69,5,6,3,6,6,0,1,0,0,1,1,0,SP
4633,1961,Associate,Widow,"$12,215.00 ",0,1,9/9/2012,88,341,90,493,259,151,66,3,6,6,12,5,1,1,1,0,1,0,1,SP
15975,1987,Bachelor,Together,"$35,689.00 ",0,0,9/5/2012,91,595,119,1671,127,133,121,1,11,5,12,6,1,0,0,0,0,1,0,GER
15632,1960,Master,Married,"$8,445.00 ",0,1,8/17/2012,51,179,99,199,19,11,26,5,1,2,9,2,0,0,0,0,1,0,0,SP
32065,1977,Associate,Single,"$10,715.00 ",0,1,6/22/2014,39,23,83,1545,10,5,23,1,1,0,4,3,1,0,0,1,0,1,0,SP
27796,1992,Bachelor,Single,"$74,294.00 ",0,0,5/1/2014,30,530,18,1305,134,44,147,1,4,10,8,1,0,1,0,1,0,1,0,SP
90,1979,Bachelor,Together,"$90,507.00 ",0,0,1/3/2014,89,594,179,1023,33,134,57,0,5,6,8,1,0,1,1,1,1,0,0,SP
23894,1978,Master,Single,"$113,926.00 ",0,0,12/16/2013,31,852,76,705,78,36,48,2,2,6,10,5,1,0,1,1,0,1,1,SA
38881,1972,Master,Married,"$144,521.00 ",1,1,10/11/2013,51,158,174,450,13,7,71,6,4,4,3,5,0,1,0,1,0,0,0,AUS
